CUST_NAME,CUST_EMAIL_ID,CUST_PH_NUMBER,CUST_ADDRESS,CUST_PINCODE,PROD_CODE,PROD_DESC,PROD_QUANTITY,PURCHASE_DATE_TIME,AMOUNT,TRANSACTION_TYPE,TRANSACTION_ID
Manoj,manoj@gmail.com,7996047060,Nagasandra,560073,P001,Laptop,2,25-10-2024 10:02,50000,UPI,2783746
Harshitha,harshitha@gmail.com,7760409979,Nagasandra,560073,P002,Batteries,30,20-11-2024 10:02,30000,CARD,12874633
Harshitha1,harshitha@gmail.com1,7760409980,Nagasandra,560074,P003,Batteries,31,21-11-2024 10:02,30001,CARD,2783746
Harshitha2,harshitha@gmail.com2,7760409981,Nagasandra,560075,P004,Batteries,32,22-11-2024 10:02,30002,CARD,2783746
Harshitha3,harshitha@gmail.com3,7760409982,Nagasandra,560076,P005,Batteries,33,23-11-2024 10:02,30003,CARD,2783746
Harshitha4,harshitha@gmail.com4,7760409983,Nagasandra,560077,P006,Batteries,34,24-11-2024 10:02,30004,CARD,2783746
Harshitha5,harshitha@gmail.com5,7760409984,Nagasandra,560078,P007,Batteries,35,25-11-2024 10:02,30005,CARD,2783746
Harshitha6,harshitha@gmail.com6,7760409985,Nagasandra,560079,P008,Batteries,36,26-11-2024 10:02,30006,CARD,2783746
Harshitha7,harshitha@gmail.com7,7760409986,Nagasandra,560080,P009,Batteries,37,27-11-2024 10:02,30007,CARD,2783746
Harshitha8,harshitha@gmail.com8,7760409987,Nagasandra,560081,P010,Batteries,38,28-11-2024 10:02,30008,CARD,2783746
Harshitha9,harshitha@gmail.com9,7760409988,Nagasandra,560082,P011,Batteries,39,29-11-2024 10:02,30009,CARD,2783746
Harshitha10,harshitha@gmail.com10,7760409989,Nagasandra,560083,P012,Batteries,40,30-11-2024 10:02,30010,CARD,2783746
Harshitha11,harshitha@gmail.com11,7760409990,Nagasandra,560084,P013,Batteries,41,01-12-2024 10:02,30011,CARD,2783746
Harshitha12,harshitha@gmail.com12,7760409991,Nagasandra,560085,P014,Batteries,42,02-12-2024 10:02,30012,CARD,2783746
Harshitha13,harshitha@gmail.com13,7760409992,Nagasandra,560086,P015,Batteries,43,03-12-2024 10:02,30013,CARD,2783746
Harshitha14,harshitha@gmail.com14,7760409993,Nagasandra,560087,P016,Batteries,44,04-12-2024 10:02,30014,CARD,2783746
Harshitha15,harshitha@gmail.com15,7760409994,Nagasandra,560088,P017,Batteries,45,05-12-2024 10:02,30015,CARD,2783746
Harshitha16,harshitha@gmail.com16,7760409995,Nagasandra,560089,P018,Batteries,46,06-12-2024 10:02,30016,CARD,2783746
Harshitha17,harshitha@gmail.com17,7760409996,Nagasandra,560090,P019,Batteries,47,07-12-2024 10:02,30017,CARD,2783746
Harshitha18,harshitha@gmail.com18,7760409997,Nagasandra,560091,P020,Batteries,48,08-12-2024 10:02,30018,CARD,2783746
Harshitha19,harshitha@gmail.com19,7760409998,Nagasandra,560092,P021,Batteries,49,09-12-2024 10:02,30019,CARD,2783746
Harshitha20,harshitha@gmail.com20,7760409999,Nagasandra,560093,P022,Batteries,50,10-12-2024 10:02,30020,CARD,2783746
Harshitha21,harshitha@gmail.com21,7760410000,Nagasandra,560094,P023,Batteries,51,11-12-2024 10:02,30021,CARD,2783746
Harshitha22,harshitha@gmail.com22,7760410001,Nagasandra,560095,P024,Batteries,52,12-12-2024 10:02,30022,CARD,2783746
Harshitha23,harshitha@gmail.com23,7760410002,Nagasandra,560096,P025,Batteries,53,13-12-2024 10:02,30023,CARD,2783746
Harshitha24,harshitha@gmail.com24,7760410003,Nagasandra,560097,P026,Batteries,54,14-12-2024 10:02,30024,CARD,2783746
Harshitha25,harshitha@gmail.com25,7760410004,Nagasandra,560098,P027,Batteries,55,15-12-2024 10:02,30025,CARD,2783746
Harshitha26,harshitha@gmail.com26,7760410005,Nagasandra,560099,P028,Batteries,56,16-12-2024 10:02,30026,CARD,2783746
Harshitha27,harshitha@gmail.com27,7760410006,Nagasandra,560100,P029,Batteries,57,17-12-2024 10:02,30027,CARD,2783746
Harshitha28,harshitha@gmail.com28,7760410007,Nagasandra,560101,P030,Batteries,58,18-12-2024 10:02,30028,CARD,2783746
Harshitha29,harshitha@gmail.com29,7760410008,Nagasandra,560102,P031,Batteries,59,19-12-2024 10:02,30029,CARD,2783746
Harshitha30,harshitha@gmail.com30,7760410009,Nagasandra,560103,P032,Batteries,60,20-12-2024 10:02,30030,CARD,2783746
Harshitha31,harshitha@gmail.com31,7760410010,Nagasandra,560104,P033,Batteries,61,21-12-2024 10:02,30031,CARD,2783746
Harshitha32,harshitha@gmail.com32,7760410011,Nagasandra,560105,P034,Batteries,62,22-12-2024 10:02,30032,CARD,2783746
Harshitha33,harshitha@gmail.com33,7760410012,Nagasandra,560106,P035,Batteries,63,23-12-2024 10:02,30033,CARD,2783746
Harshitha34,harshitha@gmail.com34,7760410013,Nagasandra,560107,P036,Batteries,64,24-12-2024 10:02,30034,CARD,2783746
Harshitha35,harshitha@gmail.com35,7760410014,Nagasandra,560108,P037,Batteries,65,25-12-2024 10:02,30035,CARD,2783746
Harshitha36,harshitha@gmail.com36,7760410015,Nagasandra,560109,P038,Batteries,66,26-12-2024 10:02,30036,CARD,2783746
Harshitha37,harshitha@gmail.com37,7760410016,Nagasandra,560110,P039,Batteries,67,27-12-2024 10:02,30037,CARD,2783746
Harshitha38,harshitha@gmail.com38,7760410017,Nagasandra,560111,P040,Batteries,68,28-12-2024 10:02,30038,CARD,2783746
Harshitha39,harshitha@gmail.com39,7760410018,Nagasandra,560112,P041,Batteries,69,29-12-2024 10:02,30039,CARD,2783746
Harshitha40,harshitha@gmail.com40,7760410019,Nagasandra,560113,P042,Batteries,70,30-12-2024 10:02,30040,CARD,2783746
Harshitha41,harshitha@gmail.com41,7760410020,Nagasandra,560114,P043,Batteries,71,31-12-2024 10:02,30041,CARD,2783746
Harshitha42,harshitha@gmail.com42,7760410021,Nagasandra,560115,P044,Batteries,72,01-01-2025 10:02,30042,CARD,2783746
Harshitha43,harshitha@gmail.com43,7760410022,Nagasandra,560116,P045,Batteries,73,02-01-2025 10:02,30043,CARD,2783746
Harshitha44,harshitha@gmail.com44,7760410023,Nagasandra,560117,P046,Batteries,74,03-01-2025 10:02,30044,CARD,2783746
Harshitha45,harshitha@gmail.com45,7760410024,Nagasandra,560118,P047,Batteries,75,04-01-2025 10:02,30045,CARD,2783746
Harshitha46,harshitha@gmail.com46,7760410025,Nagasandra,560119,P048,Batteries,76,05-01-2025 10:02,30046,CARD,2783746
Harshitha47,harshitha@gmail.com47,7760410026,Nagasandra,560120,P049,Batteries,77,06-01-2025 10:02,30047,CARD,2783746
Harshitha48,harshitha@gmail.com48,7760410027,Nagasandra,560121,P050,Batteries,78,07-01-2025 10:02,30048,CARD,2783746
